num_words,avg_word_len,similarity,intent,specificity,informational_density,casualness,hook_score,hook_template_penalty,generic_penalty,repetition_penalty,platform_penalty,length_score,label
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,4.0,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,4.5,0.0,-0.05,0.35,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.25,0.2,0.3,0.35,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
7,3.2857142857142856,0.0,-0.25,0.2,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3.7,0.0,0.0,0.2,0.15,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
11,6.454545454545454,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4,6.25,0.0,-0.25,0.2,0.44999999999999996,0.2,0.0,0.0,-0.2,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
5,6.2,0.0,-0.05,0.2,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
5,6.2,0.0,-0.05,0.2,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
5,6.2,0.0,-0.05,0.2,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
7,4.428571428571429,0.0,-0.25,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.6666666666666665,0.0,-0.25,0.2,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3.7,0.0,0.0,0.2,0.15,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
11,6.454545454545454,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4,6.25,0.0,-0.25,0.2,0.44999999999999996,0.2,0.0,0.0,-0.2,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
7,4.714285714285714,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
7,4.428571428571429,0.0,-0.25,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.25,0.2,0.3,0.35,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3.7,0.0,0.0,0.2,0.15,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
11,6.454545454545454,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4,6.25,0.0,-0.25,0.2,0.44999999999999996,0.2,0.0,0.0,-0.2,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8,4.5,0.0,-0.05,0.35,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,4.5,0.0,-0.05,0.35,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,4.5,0.0,-0.05,0.35,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
7,4.714285714285714,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,4.5,0.0,-0.05,0.35,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
7,4.428571428571429,0.0,-0.25,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,5.7,0.0,-0.25,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-0.3,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,5.7,0.0,-0.25,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-0.3,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,5.7,0.0,-0.25,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-0.3,1
7,4.428571428571429,0.0,-0.25,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3.7,0.0,0.0,0.2,0.15,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
11,6.454545454545454,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4,6.25,0.0,-0.25,0.2,0.44999999999999996,0.2,0.0,0.0,-0.2,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8,4.0,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,4.0,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,4.0,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,0
7,4.714285714285714,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,4.0,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,5.7,0.0,-0.25,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-0.3,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
7,3.2857142857142856,0.0,-0.25,0.2,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3.7,0.0,0.0,0.2,0.15,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
11,6.454545454545454,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8,4.125,-1.5,-0.25,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
5,6.2,0.0,-0.05,0.2,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
5,6.2,0.0,-0.05,0.2,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
5,6.2,0.0,-0.05,0.2,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
7,4.714285714285714,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
5,6.2,0.0,-0.05,0.2,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,5.7,0.0,-0.25,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-0.3,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.6666666666666665,0.0,-0.25,0.2,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3.7,0.0,0.0,0.2,0.15,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
11,6.454545454545454,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4,6.25,0.0,-0.25,0.2,0.44999999999999996,0.2,0.0,0.0,-0.2,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
7,4.714285714285714,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,5.7,0.0,-0.25,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-0.3,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
7,3.2857142857142856,0.0,-0.25,0.2,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3.7,0.0,0.0,0.2,0.15,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
11,6.454545454545454,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4,6.25,0.0,-0.25,0.2,0.44999999999999996,0.2,0.0,0.0,-0.2,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
7,4.714285714285714,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,5.7,0.0,-0.25,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-0.3,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,5.333333333333333,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3.1666666666666665,0.0,-0.25,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
10,4.0,0.0,0.0,0.35,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
7,4.428571428571429,0.0,-0.25,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,3.7,0.0,0.0,0.2,0.15,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.333333333333333,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
11,6.454545454545454,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,0
9,4.333333333333333,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4,6.25,0.0,-0.25,0.2,0.44999999999999996,0.2,0.0,0.0,-0.2,0.0,0.0,0.25,0
9,5.444444444444445,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
9,3.3333333333333335,0.0,-0.05,0.2,0.3,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.25,1
8,3.625,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0
5,6.0,0.0,-0.05,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1
